,,,,,,,,,  TF,IDF,TF-IDF
44,2016-06-01 16:28,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,94,e69,4,52,61,0.042553191,0.069326491,0.002950063
44,2016-06-01 16:28,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,94,e84,1,35,61,0.010638298,0.241261791,0.002566615
44,2016-06-01 16:28,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,94,e89,9,36,61,0.095744681,0.229027334,0.021928149
44,2016-06-01 16:28,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,94,e90,5,39,61,0.053191489,0.194265228,0.010333257
44,2016-06-01 16:28,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,94,e92,1,17,61,0.010638298,0.554880914,0.005902988
44,2016-06-01 16:28,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,94,e122,27,47,61,0.287234043,0.113231977,0.032524079
45,2016-06-01 16:33,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,123,e2,1,8,61,0.008130081,0.882239848,0.007172682
45,2016-06-01 16:33,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,123,e18,27,34,61,0.219512195,0.253850918,0.055723372
45,2016-06-01 16:33,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,123,e28,1,8,61,0.008130081,0.882239848,0.007172682
45,2016-06-01 16:33,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,123,e30,1,14,61,0.008130081,0.639201799,0.005196763
45,2016-06-01 16:33,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,123,e32,1,26,61,0.008130081,0.370356487,0.003011028
45,2016-06-01 16:33,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,123,e34,1,45,61,0.008130081,0.132117321,0.001074125
45,2016-06-01 16:33,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,123,e55,13,37,61,0.105691057,0.217128111,0.0229485
45,2016-06-01 16:33,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,123,e69,5,52,61,0.040650407,0.069326491,0.00281815
45,2016-06-01 16:33,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,123,e74,1,24,61,0.008130081,0.405118593,0.003293647
45,2016-06-01 16:33,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,123,e84,4,35,61,0.032520325,0.241261791,0.007845912
45,2016-06-01 16:33,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,123,e89,10,36,61,0.081300813,0.229027334,0.018620108
45,2016-06-01 16:33,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,123,e90,24,39,61,0.195121951,0.194265228,0.03790541
45,2016-06-01 16:33,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,123,e122,34,47,61,0.276422764,0.113231977,0.031299896
46,2016-06-01 16:49,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,196,e18,27,34,61,0.137755102,0.253850918,0.034969259
