id,time,time_period,attack_name,total events, event_id,event_count, occurences,Total attack,TF,IDF,TFIDF
id,time,time_period,attack_name,total events, event_id,event_count, occurences,Total attack,TF,IDF,TFIDF
4,2016-04-06 21:12,10.0,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),69,e3,7,9,124,0.10144927536231885,1.1391791757229102,0.11556890188493292
4,2016-04-06 21:12,10.0,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),69,e18,5,78,124,0.07246376811594203,0.20132708247175465,0.014588919019692366
4,2016-04-06 21:12,10.0,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),69,e32,1,54,124,0.014492753623188406,0.3610279253392666,0.005232288773032849
4,2016-04-06 21:12,10.0,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),69,e34,1,104,124,0.014492753623188406,0.0763883458634547,0.0011070774762819524
4,2016-04-06 21:12,10.0,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),69,e55,9,87,124,0.13043478260869565,0.15390243254361655,0.02007423033177607
4,2016-04-06 21:12,10.0,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),69,e62,4,29,124,0.057971014492753624,0.631023687263279,0.03658108331961037
4,2016-04-06 21:12,10.0,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),69,e84,1,81,124,0.014492753623188406,0.1849366662835853,0.002680241540341816
4,2016-04-06 21:12,10.0,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),69,e89,8,75,124,0.11594202898550725,0.21836042177053502,0.02531715035020696
4,2016-04-06 21:12,10.0,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),69,e122,33,105,124,0.4782608695652174,0.072232386092297,0.03454592378327248
id,time,time_period,attack_name,total events, event_id,event_count, occurences,Total attack,TF,IDF,TFIDF
5,2016-04-07 03:24,10.0,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,37,e34,2,104,124,0.05405405405405406,0.0763883458634547,0.004129099776402957
5,2016-04-07 03:24,10.0,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,37,e60,2,5,124,0.05405405405405406,1.3944516808262162,0.07537576653114682
5,2016-04-07 03:24,10.0,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,37,e62,4,29,124,0.10810810810810811,0.631023687263279,0.06821877700143557
5,2016-04-07 03:24,10.0,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,37,e69,8,120,124,0.21621621621621623,0.014240439114610285,0.0030790138626184405
5,2016-04-07 03:24,10.0,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,37,e84,12,81,124,0.32432432432432434,0.1849366662835853,0.05997945933521685
5,2016-04-07 03:24,10.0,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,37,e90,7,72,124,0.1891891891891892,0.23608918873096663,0.04466552219234504
5,2016-04-07 03:24,10.0,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,37,e118,1,6,124,0.02702702702702703,1.3152704347785915,0.03554784958861058
5,2016-04-07 03:24,10.0,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,37,e122,1,105,124,0.02702702702702703,0.072232386092297,0.0019522266511431622
id,time,time_period,attack_name,total events, event_id,event_count, occurences,Total attack,TF,IDF,TFIDF
6,2016-04-07 10:09,10.0,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,88,e18,10,78,124,0.11363636363636363,0.20132708247175465,0.022878077553608482
6,2016-04-07 10:09,10.0,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,88,e34,1,104,124,0.011363636363636364,0.0763883458634547,8.680493848119853E-4
6,2016-04-07 10:09,10.0,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,88,e55,15,87,124,0.17045454545454544,0.15390243254361655,0.026233369183571
6,2016-04-07 10:09,10.0,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,88,e62,4,29,124,0.045454545454545456,0.631023687263279,0.02868289487560359
6,2016-04-07 10:09,10.0,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,88,e69,7,120,124,0.07954545454545454,0.014240439114610285,0.0011327622022985454
6,2016-04-07 10:09,10.0,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,88,e74,2,55,124,0.022727272727272728,0.3530589956679912,0.008024068083363436
6,2016-04-07 10:09,10.0,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,88,e84,7,81,124,0.07954545454545454,0.1849366662835853,0.01471087118164883
6,2016-04-07 10:09,10.0,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,88,e89,1,75,124,0.011363636363636364,0.21836042177053502,0.0024813684292106252
6,2016-04-07 10:09,10.0,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,88,e90,21,72,124,0.23863636363636365,0.23608918873096663,0.056339465492617036
6,2016-04-07 10:09,10.0,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,88,e122,20,105,124,0.22727272727272727,0.072232386092297,0.016416451384612955
id,time,time_period,attack_name,total events, event_id,event_count, occurences,Total attack,TF,IDF,TFIDF
7,2016-04-08 01:10,10.0,ISMM-1 SNIPER JBoss EAP jmx authentication bypass.B,24,e30,5,29,124,0.20833333333333334,0.631023687263279,0.1314632681798498
7,2016-04-08 01:10,10.0,ISMM-1 SNIPER JBoss EAP jmx authentication bypass.B,24,e34,1,104,124,0.041666666666666664,0.0763883458634547,0.0031828477443106126
7,2016-04-08 01:10,10.0,ISMM-1 SNIPER JBoss EAP jmx authentication bypass.B,24,e62,3,29,124,0.125,0.631023687263279,0.07887796090790987
7,2016-04-08 01:10,10.0,ISMM-1 SNIPER JBoss EAP jmx authentication bypass.B,24,e69,11,120,124,0.4583333333333333,0.014240439114610285,0.006526867927529714
7,2016-04-08 01:10,10.0,ISMM-1 SNIPER JBoss EAP jmx authentication bypass.B,24,e84,4,81,124,0.16666666666666666,0.1849366662835853,0.030822777713930882
id,time,time_period,attack_name,total events, event_id,event_count, occurences,Total attack,TF,IDF,TFIDF
8,2016-04-09 11:00,10.0,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,58,e18,7,78,124,0.1206896551724138,0.20132708247175465,0.024298096160384183
8,2016-04-09 11:00,10.0,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,58,e55,1,87,124,0.017241379310344827,0.15390243254361655,0.002653490216269251
8,2016-04-09 11:00,10.0,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,58,e56,1,14,124,0.017241379310344827,0.9472936494839971,0.016332649129034434
8,2016-04-09 11:00,10.0,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,58,e62,3,29,124,0.05172413793103448,0.631023687263279,0.03263915623775581
8,2016-04-09 11:00,10.0,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,58,e69,5,120,124,0.08620689655172414,0.014240439114610285,0.001227624061604335
8,2016-04-09 11:00,10.0,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,58,e74,1,55,124,0.017241379310344827,0.3530589956679912,0.006087224063241228
8,2016-04-09 11:00,10.0,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,58,e84,8,81,124,0.13793103448275862,0.1849366662835853,0.025508505694287625
8,2016-04-09 11:00,10.0,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,58,e89,6,75,124,0.10344827586206896,0.21836042177053502,0.022589009148676037
8,2016-04-09 11:00,10.0,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,58,e90,14,72,124,0.2413793103448276,0.23608918873096663,0.05698704555575057
8,2016-04-09 11:00,10.0,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,58,e120,2,10,124,0.034482758620689655,1.0934216851622351,0.037704196040077076
8,2016-04-09 11:00,10.0,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,58,e122,10,105,124,0.1724137931034483,0.072232386092297,0.01245385967108569
id,time,time_period,attack_name,total events, event_id,event_count, occurences,Total attack,TF,IDF,TFIDF
9,2016-04-13 06:09,10.0,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,52,e32,1,54,124,0.019230769230769232,0.3610279253392666,0.006942844718062819
9,2016-04-13 06:09,10.0,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,52,e34,3,104,124,0.057692307692307696,0.0763883458634547,0.004407019953660849
9,2016-04-13 06:09,10.0,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,52,e55,1,87,124,0.019230769230769232,0.15390243254361655,0.002959662164300318
9,2016-04-13 06:09,10.0,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,52,e62,3,29,124,0.057692307692307696,0.631023687263279,0.036405212726727636
9,2016-04-13 06:09,10.0,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,52,e69,10,120,124,0.19230769230769232,0.014240439114610285,0.0027385459835789013
